path,labels,phonemes
train\Voice57.wav,देशको निर्माणमा र उन्नतिमा समाजको ठुलो योगदान रहेको छ भन्ने कुरा प्रत्यक नागरिकले दिलदिमागले बुझ्नुपर्छ।,d̪ eː ʃ k oː   n i ɾ  m aː ɳ m aː   ɾ   u n  n t̪ i m aː   s m aː d͡ʒ k oː   ʈʰ u l oː   j oː g d̪ aː n   ɾ ɦ eː k oː   t͡ʃʰ   bʱ n  n eː   k u ɾ aː   p  ɾ t̪  j k   n aː g ɾ i k l eː   d̪ i l d̪ i m aː g l eː   b u d͡ʒʱ  n u p ɾ  t͡ʃʰ
train\Voice666.wav,"हो, आमालाई धेरै काम छ, मालमत्ताको राखनधरन गर्नु छ, उहाँलाई फुर्सत छैन ।",ɦ oː   aː m aː l aː iː   d̪ʱ eː ɾ ai   k aː m   t͡ʃʰ   m aː l m t̪  t̪ aː k oː   ɾ aː kʰ n d̪ʱ ɾ n   g ɾ  n u   t͡ʃʰ   u ɦ aː ̃ l aː iː   pʰ u ɾ  s t̪   t͡ʃʰ ai n  
train\Voice903.wav,र अनिवार्य भएमा मात्र अनिवार्य परिमाण प्रयोग होस्‌ ।,ɾ   ə n i ʋ aː ɾ  j   bʱ eː m aː   m aː t̪  ɾ   ə n i ʋ aː ɾ  j   p ɾ i m aː ɳ   p  ɾ j oː g   ɦ oː s   
train\Voice639.wav,खाजा खानासाथ मलाई लिएर ग्राम दर्शनमा उ हिँडी ।,kʰ aː d͡ʒ aː   kʰ aː n aː s aː t̪ʰ   m l aː iː   l i eː ɾ   g  ɾ aː m   d̪ ɾ  ʃ n m aː   u   ɦ i ̃ ɖ iː  
train\Voice804.wav,तिहार नेपालीहरूको ज्यादै रमाइलो र महत्त्वपूर्ण चाड हो।,t̪ i ɦ aː ɾ   n eː p aː l iː ɦ ɾ uː k oː   d͡ʒ  j aː d̪ ai   ɾ m aː i l oː   ɾ   m ɦ t̪  t̪  ʋ p uː ɾ  ɳ   t͡ʃ aː ɖ   ɦ oː
train\Voice873.wav,दसौं लाख युक्रेनीलाई ऊर्जा र अन्य अत्यावश्यकीय सेवाबाट वञ्चित गरिरहेको छ ।,d̪ s au ̃   l aː kʰ   j u k  ɾ eː n iː l aː iː   uː ɾ  d͡ʒ aː   ɾ   ə n  j   ə t̪  j aː ʋ ʃ  j k iː j   s eː ʋ aː b aː ʈ   ʋ ɲ  t͡ʃ i t̪   g ɾ i ɾ ɦ eː k oː   t͡ʃʰ  
train\Voice875.wav,निश्चय पनि ‘ हरियो वन नेपालको धन’ हो।,n i ʃ  t͡ʃ j   p n i     ɦ ɾ i j oː   ʋ n   n eː p aː l k oː   d̪ʱ n   ɦ oː
train\Voice874.wav,कडा नियम बनाए पनि यस आधानिक युगमा नराम्रो मानिसले गर्दा समाज पछि पर्छन्।,k ɖ aː   n i j m   b n aː eː   p n i   j s   aː d̪ʱ aː n i k   j u g m aː   n ɾ aː m  ɾ oː   m aː n i s l eː   g ɾ  d̪ aː   s m aː d͡ʒ   p t͡ʃʰ i   p ɾ  t͡ʃʰ n 
train\Voice697.wav,"अनुशासन' शब्दले 'सामाजिक, नैतिक, धार्मिक, राजनैतिक आदि नियम-नियमावलीको मर्यादा र सो मर्यादाभित्र रहने काम भन्ने अर्थ बुझाउँछ, ।",ə n u ʃ aː s n   ʃ b  d̪ l eː   s aː m aː d͡ʒ i k   n ai t̪ i k   d̪ʱ aː ɾ  m i k   ɾ aː d͡ʒ n ai t̪ i k   aː d̪ i   n i j m n i j m aː ʋ l iː k oː   m ɾ  j aː d̪ aː   ɾ   s oː   m ɾ  j aː d̪ aː bʱ i t̪  ɾ   ɾ ɦ n eː   k aː m   bʱ n  n eː   ə ɾ  t̪ʰ   b u d͡ʒʱ aː u ̃ t͡ʃʰ  
train\Voice31.wav,हामीले यसमा रहेको अर्थपूर्ण ज्ञानलाई मनले धारण गर्न सक्यो भने लक्ष्य र आकाङ्क्षा प्राप्त गर्न सक्छौ।,ɦ aː m iː l eː   j s m aː   ɾ ɦ eː k oː   ə ɾ  t̪ʰ p uː ɾ  ɳ   d͡ʒ  ɲ aː n l aː iː   m n l eː   d̪ʱ aː ɾ ɳ   g ɾ  n   s k  j oː   bʱ n eː   l k  ʂ  j   ɾ   aː k aː ŋ  k  ʂ aː   p  ɾ aː p  t̪   g ɾ  n   s k  t͡ʃʰ au
train\Voice150.wav,हामी सबै देशका र समाजका सच्चा नागरिक हौ भने यस्ता समस्यालाई मिलिजुली सुल्झाउनुपर्छ।,ɦ aː m iː   s b ai   d̪ eː ʃ k aː   ɾ   s m aː d͡ʒ k aː   s t͡ʃ  t͡ʃ aː   n aː g ɾ i k   ɦ au   bʱ n eː   j s  t̪ aː   s m s  j aː l aː iː   m i l i d͡ʒ u l iː   s u l  d͡ʒʱ aː u n u p ɾ  t͡ʃʰ
train\Voice724.wav,"तिनीहरू उनीहरूको वरिपरी मद्दत गर्न प्रयास गर्छन्, आफैलाई धैर्य कार्यमा समावेश गर्दछ।",t̪ i n iː ɦ ɾ uː   u n iː ɦ ɾ uː k oː   ʋ ɾ i p ɾ iː   m d̪  d̪ t̪   g ɾ  n   p  ɾ j aː s   g ɾ  t͡ʃʰ n    aː pʰ ai l aː iː   d̪ʱ ai ɾ  j   k aː ɾ  j m aː   s m aː ʋ eː ʃ   g ɾ  d̪ t͡ʃʰ
train\Voice840.wav,यस दिन मीठा-मीठा खाने कुरा दिई माला लगाई सिँगारपटार गरी कुकुरको पूजा गरिन्छ।,j s   d̪ i n   m iː ʈʰ aː m iː ʈʰ aː   kʰ aː n eː   k u ɾ aː   d̪ i iː   m aː l aː   l g aː iː   s i ̃ g aː ɾ p ʈ aː ɾ   g ɾ iː   k u k u ɾ k oː   p uː d͡ʒ aː   g ɾ i n  t͡ʃʰ
train\Voice559.wav,मैले भोलिपल्ट त्यही दिएर उसका प्रति आफ्नो आदर र कृतज्ञता ज्ञापन गर्न चाहेँ ।,m ai l eː   bʱ oː l i p l  ʈ   t̪  j ɦ iː   d̪ i eː ɾ   u s k aː   p  ɾ t̪ i   aː pʰ  n oː   aː d̪ ɾ   ɾ   k t̪ d͡ʒ  ɲ t̪ aː   d͡ʒ  ɲ aː p n   g ɾ  n   t͡ʃ aː ɦ eː ̃  
train\Voice601.wav,नारी सम्बन्धित अप्रिय घटनाहरु को नब्बे प्रतिशत कारण नारी शिक्षाको कमी र नारी चेतनाको कमीले नै हुन्छ्न।,n aː ɾ iː   s m  b n  d̪ʱ i t̪   ə p  ɾ i j   gʱ ʈ n aː ɦ ɾ u   k oː   n b  b eː   p  ɾ t̪ i ʃ t̪   k aː ɾ ɳ   n aː ɾ iː   ʃ i k  ʂ aː k oː   k m iː   ɾ   n aː ɾ iː   t͡ʃ eː t̪ n aː k oː   k m iː l eː   n ai   ɦ u n  t͡ʃʰ  n
train\Voice106.wav,शर्मिला ।,ʃ ɾ  m i l aː  
train\Voice654.wav,पछिल्लो समय रुसले युक्रेनी ऊर्जा पूर्वाधारलाई लक्षित गरी आक्रमण तीव्र पारेको छ ।,p t͡ʃʰ i l  l oː   s m j   ɾ u s l eː   j u k  ɾ eː n iː   uː ɾ  d͡ʒ aː   p uː ɾ  ʋ aː d̪ʱ aː ɾ l aː iː   l k  ʂ i t̪   g ɾ iː   aː k  ɾ m ɳ   t̪ iː ʋ  ɾ   p aː ɾ eː k oː   t͡ʃʰ  
train\Voice607.wav,यहाका मनमोहक प्राकृतिक दृश्य हेर्न पाउँदा विदेशी पर्यटकहरुको मन निकै आनन्दित हुन्छ।,j ɦ aː k aː   m n m oː ɦ k   p  ɾ aː k t̪ i k   d̪ ʃ  j   ɦ eː ɾ  n   p aː u ̃ d̪ aː   ʋ i d̪ eː ʃ iː   p ɾ  j ʈ k ɦ ɾ u k oː   m n   n i k ai   aː n n  d̪ i t̪   ɦ u n  t͡ʃʰ
train\Voice729.wav,नारी नुनिला आँसुका धारा खाएर अमृतमय दूध पिलाउन सक्ने नारी सृष्टिका संरक्षक हुन् ।,n aː ɾ iː   n u n i l aː   aː ̃ s u k aː   d̪ʱ aː ɾ aː   kʰ aː eː ɾ   ə m t̪ m j   d̪ uː d̪ʱ   p i l aː u n   s k  n eː   n aː ɾ iː   s ʂ  ʈ i k aː   s ̃ ɾ k  ʂ k   ɦ u n   
train\Voice587.wav,पुस्तकालयले हाम्रो जीवनलाई अर्थ दिने गर्छन।,p u s  t̪ k aː l j l eː   ɦ aː m  ɾ oː   d͡ʒ iː ʋ n l aː iː   ə ɾ  t̪ʰ   d̪ i n eː   g ɾ  t͡ʃʰ n
train\Voice979.wav,पोखरी सानो थियो ।,p oː kʰ ɾ iː   s aː n oː   t̪ʰ i j oː  
train\Voice632.wav,"अर्कोतर्फ, ती व्यक्तिहरूले बुझ्नका लागि उनीहरूलाई मात्र उनीहरूको आवश्यकताहरूमा ध्यान केन्द्रित गर्नुपर्छ र हरेक भौतिकवादी ।",ə ɾ  k oː t̪ ɾ  pʰ   t̪ iː   ʋ  j k  t̪ i ɦ ɾ uː l eː   b u d͡ʒʱ  n k aː   l aː g i   u n iː ɦ ɾ uː l aː iː   m aː t̪  ɾ   u n iː ɦ ɾ uː k oː   aː ʋ ʃ  j k t̪ aː ɦ ɾ uː m aː   d̪ʱ  j aː n   k eː n  d̪  ɾ i t̪   g ɾ  n u p ɾ  t͡ʃʰ   ɾ   ɦ ɾ eː k   bʱ au t̪ i k ʋ aː d̪ iː  
train\Voice37.wav,फर्जी बिल बनाएर समेत इन्धनमा आर्थिक अनियमितता हुने गरेको ती कर्मचारीले बताए ।,pʰ ɾ  d͡ʒ iː   b i l   b n aː eː ɾ   s m eː t̪   i n  d̪ʱ n m aː   aː ɾ  t̪ʰ i k   ə n i j m i t̪ t̪ aː   ɦ u n eː   g ɾ eː k oː   t̪ iː   k ɾ  m t͡ʃ aː ɾ iː l eː   b t̪ aː eː  
train\Voice965.wav,"त्यसो हुनाले, चारैतिरबाट हरेस खाएर म आमाको पिठ्युमा टाँस्सिइरहेँ ।",t̪  j s oː   ɦ u n aː l eː   t͡ʃ aː ɾ ai t̪ i ɾ b aː ʈ   ɦ ɾ eː s   kʰ aː eː ɾ   m   aː m aː k oː   p i ʈʰ  j u m aː   ʈ aː ̃ s  s i i ɾ ɦ eː ̃  
train\Voice636.wav,उहाँहरुले देशका लागि केही न केही योगदान दिएर गएका हन्।,u ɦ aː ̃ ɦ ɾ u l eː   d̪ eː ʃ k aː   l aː g i   k eː ɦ iː   n   k eː ɦ iː   j oː g d̪ aː n   d̪ i eː ɾ   g eː k aː   ɦ n 
train\Voice737.wav,अनि बडो मेहेनत गर्न थालेकी थिई पढ्नमा ।,ə n i   b ɖ oː   m eː ɦ eː n t̪   g ɾ  n   t̪ʰ aː l eː k iː   t̪ʰ i iː   p ɖʱ  n m aː  
train\Voice999.wav,"अनि स्वाभाविक स्थितिमा आएर उसले भनेकी थिई- तिमी कहिले- कहिले अनौठो व्यवहार गर्छौ, अनौठो कुरा गर्छौ ।",ə n i   s  ʋ aː bʱ aː ʋ i k   s  t̪ʰ i t̪ i m aː   aː eː ɾ   u s l eː   bʱ n eː k iː   t̪ʰ i iː   t̪ i m iː   k ɦ i l eː   k ɦ i l eː   ə n au ʈʰ oː   ʋ  j ʋ ɦ aː ɾ   g ɾ  t͡ʃʰ au   ə n au ʈʰ oː   k u ɾ aː   g ɾ  t͡ʃʰ au  
train\Voice931.wav,"उसले भनी- होइन, तिमीलाई थाहा होइन होला ।",u s l eː   bʱ n iː   ɦ oː i n   t̪ i m iː l aː iː   t̪ʰ aː ɦ aː   ɦ oː i n   ɦ oː l aː  
train\Voice951.wav,नेपाल आमाका उर्वर कोखबाट समय-समयमा युगप्रवर्तक महानायकहरूको जन्म भएको छ र राष्ट्रियताको रथ हाँक्ने सारथिहरूको उदय भएको छ।,n eː p aː l   aː m aː k aː   u ɾ  ʋ ɾ   k oː kʰ b aː ʈ   s m j s m j m aː   j u g p  ɾ ʋ ɾ  t̪ k   m ɦ aː n aː j k ɦ ɾ uː k oː   d͡ʒ n  m   bʱ eː k oː   t͡ʃʰ   ɾ   ɾ aː ʂ  ʈ  ɾ i j t̪ aː k oː   ɾ t̪ʰ   ɦ aː ̃ k  n eː   s aː ɾ t̪ʰ i ɦ ɾ uː k oː   u d̪ j   bʱ eː k oː   t͡ʃʰ
train\Voice910.wav,मानिसहरु पैसाका लागि धनी मान्छेहरुलाई लुटपाट गर्ने काम गर्छन ।,m aː n i s ɦ ɾ u   p ai s aː k aː   l aː g i   d̪ʱ n iː   m aː n  t͡ʃʰ eː ɦ ɾ u l aː iː   l u ʈ p aː ʈ   g ɾ  n eː   k aː m   g ɾ  t͡ʃʰ n  
train\Voice531.wav,ति बिचरा साँच्चैका अवसर बाट वन्चित र अशिक्षित नारी को त्यहा उपस्थिती हुनेछ / भएको छ ।,t̪ i   b i t͡ʃ ɾ aː   s aː ̃ t͡ʃ  t͡ʃ ai k aː   ə ʋ s ɾ   b aː ʈ   ʋ n  t͡ʃ i t̪   ɾ   ə ʃ i k  ʂ i t̪   n aː ɾ iː   k oː   t̪  j ɦ aː   u p s  t̪ʰ i t̪ iː   ɦ u n eː t͡ʃʰ     bʱ eː k oː   t͡ʃʰ  
train\Voice703.wav,घरका सबै आत्यधिक लाड प्यार पाएर म चाडै नै तङ्ग्रिन थाले अनि सबैका काख काखमा खेल्दै-रमाउँदै टुकुटुकु हिँड्न सक्ने भए।,gʱ ɾ k aː   s b ai   aː t̪  j d̪ʱ i k   l aː ɖ   p  j aː ɾ   p aː eː ɾ   m   t͡ʃ aː ɖ ai   n ai   t̪ ŋ  g  ɾ i n   t̪ʰ aː l eː   ə n i   s b ai k aː   k aː kʰ   k aː kʰ m aː   kʰ eː l  d̪ ai ɾ m aː u ̃ d̪ ai   ʈ u k u ʈ u k u   ɦ i ̃ ɖ  n   s k  n eː   bʱ eː
train\Voice625.wav,"वासिङ्टन, किभ — अमेरिकाले इरानले रुसका लागि प्रमुख सैन्य सहयोगीका रूपमा भूमिका निर्वाह गरिरहेको दाबी गरेको छ ।",ʋ aː s i ŋ  ʈ n   k i bʱ     ə m eː ɾ i k aː l eː   i ɾ aː n l eː   ɾ u s k aː   l aː g i   p  ɾ m u kʰ   s ai n  j   s ɦ j oː g iː k aː   ɾ uː p m aː   bʱ uː m i k aː   n i ɾ  ʋ aː ɦ   g ɾ i ɾ ɦ eː k oː   d̪ aː b iː   g ɾ eː k oː   t͡ʃʰ  
train\Voice164.wav,"नारीहरु पीडित ,प्रताडित ,दलित ,दंशित हुनु रहनुमा अशिक्षा ,अवसरको कमी आदी ले भूमिका खेलेको छ् र म पनि मान्छु ।",n aː ɾ iː ɦ ɾ u   p iː ɖ i t̪   p  ɾ t̪ aː ɖ i t̪   d̪ l i t̪   d̪ ̃ ʃ i t̪   ɦ u n u   ɾ ɦ n u m aː   ə ʃ i k  ʂ aː   ə ʋ s ɾ k oː   k m iː   aː d̪ iː   l eː   bʱ uː m i k aː   kʰ eː l eː k oː   t͡ʃʰ    ɾ   m   p n i   m aː n  t͡ʃʰ u  
train\Voice522.wav,"कस्तो अनुद्धिगन छ उसको मन- एकदम भावनाशून्य भएको छ उसको हृदय- धोइएर, पुछिएर चोखो ।",k s  t̪ oː   ə n u d̪  d̪ʱ i g n   t͡ʃʰ   u s k oː   m n   eː k d̪ m   bʱ aː ʋ n aː ʃ uː n  j   bʱ eː k oː   t͡ʃʰ   u s k oː   ɦ d̪ j   d̪ʱ oː i eː ɾ   p u t͡ʃʰ i eː ɾ   t͡ʃ oː kʰ oː  
train\Voice2004.wav,आज मौसम बडो रमाइलो छ।,aː d͡ʒ   m au s m   b ɖ oː   ɾ m aː i l oː   t͡ʃʰ
train\Voice658.wav,उस दिन बिहान गाइको पूजा गरिन्छ अनि राति घरघरमा दीपावली गरी धनकी देवी लक्ष्मीको पूजा गरिन्छ।,u s   d̪ i n   b i ɦ aː n   g aː i k oː   p uː d͡ʒ aː   g ɾ i n  t͡ʃʰ   ə n i   ɾ aː t̪ i   gʱ ɾ gʱ ɾ m aː   d̪ iː p aː ʋ l iː   g ɾ iː   d̪ʱ n k iː   d̪ eː ʋ iː   l k  ʂ  m iː k oː   p uː d͡ʒ aː   g ɾ i n  t͡ʃʰ
train\Voice15.wav,"लागि सञ्चारका माध्यमले अहम् भूमिका खेलेको छ, पत्रपत्रिकाको अभावमा व्यक्ति तथा राष्ट्रले राजनीति, खेलकुद, कृषि र अन्य कुराहरू थाहा पाउन सक्दैन ।",l aː g i   s ɲ  t͡ʃ aː ɾ k aː   m aː d̪ʱ  j m l eː   ə ɦ m    bʱ uː m i k aː   kʰ eː l eː k oː   t͡ʃʰ   p t̪  ɾ p t̪  ɾ i k aː k oː   ə bʱ aː ʋ m aː   ʋ  j k  t̪ i   t̪ t̪ʰ aː   ɾ aː ʂ  ʈ  ɾ l eː   ɾ aː d͡ʒ n iː t̪ i   kʰ eː l k u d̪   k ʂ i   ɾ   ə n  j   k u ɾ aː ɦ ɾ uː   t̪ʰ aː ɦ aː   p aː u n   s k  d̪ ai n  
train\Voice78.wav,"पशुपतिनाथ मन्दिर, दत्तात्रेय, तलेजु भवानी मन्दिर, कृष्णमण्डप, मनकामना मन्दिर आदि जस्ता मन्दिर र ती ठाउँक कलाकृति यहाँको शोभा बढाएका छन्।",p ʃ u p t̪ i n aː t̪ʰ   m n  d̪ i ɾ   d̪ t̪  t̪ aː t̪  ɾ eː j   t̪ l eː d͡ʒ u   bʱ ʋ aː n iː   m n  d̪ i ɾ   k ʂ  ɳ m ɳ  ɖ p   m n k aː m n aː   m n  d̪ i ɾ   aː d̪ i   d͡ʒ s  t̪ aː   m n  d̪ i ɾ   ɾ   t̪ iː   ʈʰ aː u ̃ k   k l aː k t̪ i   j ɦ aː ̃ k oː   ʃ oː bʱ aː   b ɖʱ aː eː k aː   t͡ʃʰ n 
train\Voice670.wav,सरकारले कर तिराएर हामीलाई ठग्न काम गरिरहेको होइन।,s ɾ k aː ɾ l eː   k ɾ   t̪ i ɾ aː eː ɾ   ɦ aː m iː l aː iː   ʈʰ g  n   k aː m   g ɾ i ɾ ɦ eː k oː   ɦ oː i n
train\Voice72.wav,बगेर खेर गइरहेको नदीमा बाँध बाँधेर विद्युत्ऊर्जा निकलेझैँ खेर गइरहेको युवा शक्तिलाई सुसङ्गठित पारी राष्ट्रिय विकासको अभियानमा पोख्न सकिन्छ ।,b g eː ɾ   kʰ eː ɾ   g i ɾ ɦ eː k oː   n d̪ iː m aː   b aː ̃ d̪ʱ   b aː ̃ d̪ʱ eː ɾ   ʋ i d̪  j u t̪  uː ɾ  d͡ʒ aː   n i k l eː d͡ʒʱ ai ̃   kʰ eː ɾ   g i ɾ ɦ eː k oː   j u ʋ aː   ʃ k  t̪ i l aː iː   s u s ŋ  g ʈʰ i t̪   p aː ɾ iː   ɾ aː ʂ  ʈ  ɾ i j   ʋ i k aː s k oː   ə bʱ i j aː n m aː   p oː kʰ  n   s k i n  t͡ʃʰ  
train\Voice675.wav,त्यसैले यो दिन तिहार चाडको निकै महत्त्वपूर्ण दिन हो।,t̪  j s ai l eː   j oː   d̪ i n   t̪ i ɦ aː ɾ   t͡ʃ aː ɖ k oː   n i k ai   m ɦ t̪  t̪  ʋ p uː ɾ  ɳ   d̪ i n   ɦ oː
train\Voice902.wav,उहाँहरुले प्रशस्त माया ममाथी खन्याउनुभएको थियो।,u ɦ aː ̃ ɦ ɾ u l eː   p  ɾ ʃ s  t̪   m aː j aː   m m aː t̪ʰ iː   kʰ n  j aː u n u bʱ eː k oː   t̪ʰ i j oː
train\Voice138.wav,अस्ति हाम्रै गाउँकी मुनरियालाई वायु चढेको थियो ।,ə s  t̪ i   ɦ aː m  ɾ ai   g aː u ̃ k iː   m u n ɾ i j aː l aː iː   ʋ aː j u   t͡ʃ ɖʱ eː k oː   t̪ʰ i j oː  
train\Voice35.wav,हामी वृक्ष वनस्पतिलाई पनि उनीहरूको उपकार सम्झी श्रद्धा गर्छौं।,ɦ aː m iː   ʋ k  ʂ   ʋ n s  p t̪ i l aː iː   p n i   u n iː ɦ ɾ uː k oː   u p k aː ɾ   s m  d͡ʒʱ iː   ʃ  ɾ d̪  d̪ʱ aː   g ɾ  t͡ʃʰ au ̃
train\Voice882.wav,त्यही बिलको कारणले ती व्यापारीहरूलाई धेरै कम कर तिर्नुपर्छ।,t̪  j ɦ iː   b i l k oː   k aː ɾ ɳ l eː   t̪ iː   ʋ  j aː p aː ɾ iː ɦ ɾ uː l aː iː   d̪ʱ eː ɾ ai   k m   k ɾ   t̪ i ɾ  n u p ɾ  t͡ʃʰ
train\Voice848.wav,पुस्तकालयमा विभिन्न छेत्रका किताबहरु हुन्छन।,p u s  t̪ k aː l j m aː   ʋ i bʱ i n  n   t͡ʃʰ eː t̪  ɾ k aː   k i t̪ aː b ɦ ɾ u   ɦ u n  t͡ʃʰ n
train\Voice170.wav,एउटा पुरानो मुद्दामा अख्तियारले विशेष अदालतमा मुद्दा दर्ता गरेपछि असारको अन्तमा उनी निलम्बनमा परेका थिए ।,eː u ʈ aː   p u ɾ aː n oː   m u d̪  d̪ aː m aː   ə kʰ  t̪ i j aː ɾ l eː   ʋ i ʃ eː ʂ   ə d̪ aː l t̪ m aː   m u d̪  d̪ aː   d̪ ɾ  t̪ aː   g ɾ eː p t͡ʃʰ i   ə s aː ɾ k oː   ə n  t̪ m aː   u n iː   n i l m  b n m aː   p ɾ eː k aː   t̪ʰ i eː  
